step,combination,modalities,modality,fold,training_seed,evaluation_count,baseline_accuracy,baseline_macro_f1,perturbed_accuracy,perturbed_macro_f1,delta_accuracy,delta_macro_f1,baseline_confusion_matrix,perturbed_confusion_matrix,replacement
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MP,1,42,202,0.7673267326732673,0.7514854854330811,0.6435643564356436,0.6423020167240532,-0.12376237623762376,-0.10918346870902795,"[[52, 26], [21, 103]]","[[71, 7], [65, 59]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MR,1,42,202,0.7673267326732673,0.7514854854330811,0.6237623762376238,0.622429906542056,-0.14356435643564358,-0.12905557889102515,"[[52, 26], [21, 103]]","[[69, 9], [67, 57]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MUV,1,42,202,0.7673267326732673,0.7514854854330811,0.6881188118811881,0.687498465240773,-0.07920792079207928,-0.06398702019230817,"[[52, 26], [21, 103]]","[[65, 13], [50, 74]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",M,2,42,200,0.745,0.7257400984109058,0.69,0.5751096491228069,-0.05500000000000005,-0.15063044928809888,"[[48, 29], [22, 101]]","[[17, 60], [2, 121]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MB,2,42,200,0.745,0.7257400984109058,0.725,0.6967942887069655,-0.020000000000000018,-0.02894580970394034,"[[48, 29], [22, 101]]","[[42, 35], [20, 103]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MP,2,42,200,0.745,0.7257400984109058,0.715,0.7141352591589558,-0.030000000000000027,-0.011604839251949994,"[[48, 29], [22, 101]]","[[66, 11], [46, 77]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MR,2,42,200,0.745,0.7257400984109058,0.45,0.3915256112401814,-0.295,-0.3342144871707244,"[[48, 29], [22, 101]]","[[76, 1], [109, 14]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MUV,2,42,200,0.745,0.7257400984109058,0.72,0.694289769625505,-0.025000000000000022,-0.03145032878540077,"[[48, 29], [22, 101]]","[[43, 34], [22, 101]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",M,3,42,199,0.7537688442211056,0.7309103954521622,0.7286432160804021,0.691561423650976,-0.025125628140703515,-0.03934897180118624,"[[46, 31], [18, 104]]","[[38, 39], [15, 107]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MB,3,42,199,0.7537688442211056,0.7309103954521622,0.6834170854271356,0.6738977760436987,-0.07035175879396993,-0.05701261940846347,"[[46, 31], [18, 104]]","[[51, 26], [37, 85]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MP,3,42,199,0.7537688442211056,0.7309103954521622,0.7286432160804021,0.7242918719211824,-0.025125628140703515,-0.006618523530979803,"[[46, 31], [18, 104]]","[[60, 17], [37, 85]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MR,3,42,199,0.7537688442211056,0.7309103954521622,0.47738693467336685,0.45421940928270044,-0.2763819095477387,-0.27669098616946175,"[[46, 31], [18, 104]]","[[68, 9], [95, 27]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MUV,3,42,199,0.7537688442211056,0.7309103954521622,0.7135678391959799,0.7002140761688295,-0.04020100502512569,-0.030696319283332718,"[[46, 31], [18, 104]]","[[50, 27], [30, 92]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",M,4,42,198,0.7474747474747475,0.7271825396825398,0.6868686868686869,0.6140593561368209,-0.06060606060606066,-0.11312318354571882,"[[47, 29], [21, 101]]","[[25, 51], [11, 111]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MB,4,42,198,0.7474747474747475,0.7271825396825398,0.7424242424242424,0.7400303787040137,-0.005050505050505083,0.012847839021473906,"[[47, 29], [21, 101]]","[[64, 12], [39, 83]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MP,4,42,198,0.7474747474747475,0.7271825396825398,0.7525252525252525,0.7363801863978481,0.005050505050504972,0.009197646715308316,"[[47, 29], [21, 101]]","[[50, 26], [23, 99]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MR,4,42,198,0.7474747474747475,0.7271825396825398,0.46464646464646464,0.43683589138134593,-0.2828282828282829,-0.29034664830119383,"[[47, 29], [21, 101]]","[[68, 8], [98, 24]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MUV,4,42,198,0.7474747474747475,0.7271825396825398,0.696969696969697,0.6898496240601504,-0.0505050505050505,-0.037332915622389384,"[[47, 29], [21, 101]]","[[54, 22], [38, 84]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",M,5,42,197,0.7715736040609137,0.7571565538967265,0.7715736040609137,0.7617511892284126,0.0,0.0045946353316860256,"[[52, 23], [22, 100]]","[[56, 19], [26, 96]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MB,5,42,197,0.7715736040609137,0.7571565538967265,0.7715736040609137,0.7595801806199658,0.0,0.0024236267232392583,"[[52, 23], [22, 100]]","[[54, 21], [24, 98]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MP,5,42,197,0.7715736040609137,0.7571565538967265,0.7360406091370558,0.7240896358543417,-0.035532994923857864,-0.03306691804238482,"[[52, 23], [22, 100]]","[[52, 23], [29, 93]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MR,5,42,197,0.7715736040609137,0.7571565538967265,0.49238578680203043,0.458910129641837,-0.27918781725888325,-0.29824642425488956,"[[52, 23], [22, 100]]","[[73, 2], [98, 24]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MUV,5,42,197,0.7715736040609137,0.7571565538967265,0.7360406091370558,0.7015151515151515,-0.035532994923857864,-0.055641402381575,"[[52, 23], [22, 100]]","[[39, 36], [16, 106]]",zero_normalized_baseline
