record_type,scheme,training_seed,accuracy,macro_f1,mae,auc,sensitivity,specificity,fold,train_n,eval_n,train_minutes,majority_acc,accuracy_std,macro_f1_std,mae_std,auc_std,sensitivity_std,specificity_std
fold_raw_reference,MP,2026,0.7537688442211056,0.7272981514109125,0.24623115577889448,0.7905434317501069,0.8617886178861789,0.5789473684210527,4.0,797.0,199.0,2.36,,,,,,,
fold_raw_reference,MP,2026,0.7788944723618091,0.7669789227166277,0.22110552763819097,0.8258985879332478,0.8130081300813008,0.7236842105263158,5.0,797.0,199.0,2.36,,,,,,,
fold_raw_reference,MR,42,0.765,0.740896937622316,0.235,0.8315383803188681,0.8699186991869918,0.5974025974025974,1.0,796.0,200.0,2.33,,,,,,,
fold_raw_reference,MR,42,0.7537688442211056,0.7325928972987796,0.24623115577889448,0.7991271024057909,0.8442622950819673,0.6103896103896104,2.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,MR,42,0.7286432160804021,0.6808624376336422,0.271356783919598,0.8013625718543752,0.9098360655737705,0.44155844155844154,3.0,797.0,199.0,2.34,,,,,,,
fold_raw_reference,MR,42,0.8040201005025126,0.7908142637664753,0.19597989949748743,0.8483632862644416,0.8536585365853658,0.7236842105263158,4.0,797.0,199.0,2.32,,,,,,,
fold_raw_reference,MR,42,0.8090452261306532,0.790642303433001,0.19095477386934673,0.8559584937954643,0.8943089430894309,0.6710526315789473,5.0,797.0,199.0,2.32,,,,,,,
fold_raw_reference,MR,3407,0.72,0.7057587221521648,0.28,0.7743110547988596,0.7642276422764228,0.6493506493506493,1.0,796.0,200.0,2.33,,,,,,,
fold_raw_reference,MR,3407,0.7487437185929648,0.73252688172043,0.25125628140703515,0.7969980838833298,0.8114754098360656,0.6493506493506493,2.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,MR,3407,0.7738693467336684,0.7459214072918144,0.22613065326633167,0.8592718756653183,0.9016393442622951,0.5714285714285714,3.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,MR,3407,0.7738693467336684,0.7686106302162734,0.22613065326633167,0.8451005562687206,0.7479674796747967,0.8157894736842105,4.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,MR,3407,0.7839195979899497,0.7728129563255011,0.21608040201005024,0.860451433461703,0.8130081300813008,0.7368421052631579,5.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,MR,2026,0.68,0.6736026111791106,0.32,0.7600570161545771,0.6666666666666666,0.7012987012987013,1.0,796.0,200.0,2.32,,,,,,,
fold_raw_reference,MR,2026,0.7537688442211056,0.7212167996111731,0.24623115577889448,0.8268043431977858,0.8934426229508197,0.5324675324675324,2.0,797.0,199.0,2.34,,,,,,,
fold_raw_reference,MR,2026,0.7386934673366834,0.7218279569892473,0.2613065326633166,0.8185011709601874,0.8032786885245902,0.6363636363636364,3.0,797.0,199.0,2.35,,,,,,,
fold_raw_reference,MR,2026,0.8140703517587939,0.7954779033915724,0.18592964824120603,0.8378797603765512,0.9024390243902439,0.6710526315789473,4.0,797.0,199.0,2.31,,,,,,,
fold_raw_reference,MR,2026,0.8090452261306532,0.7967204301075269,0.19095477386934673,0.8626444159178434,0.8536585365853658,0.7368421052631579,5.0,797.0,199.0,2.34,,,,,,,
fold_raw_reference,MUV,42,0.705,0.6596579273744628,0.295,0.7228909302080033,0.8699186991869918,0.44155844155844154,1.0,796.0,200.0,2.33,,,,,,,
fold_raw_reference,MUV,42,0.7336683417085427,0.705036776015885,0.2663316582914573,0.7820949542261019,0.8524590163934426,0.5454545454545454,2.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,MUV,42,0.7286432160804021,0.7079256360078278,0.271356783919598,0.8039173940813286,0.8114754098360656,0.5974025974025974,3.0,797.0,199.0,2.32,,,,,,,
fold_raw_reference,MUV,42,0.7336683417085427,0.7070359156690091,0.2663316582914573,0.7434745400085581,0.8373983739837398,0.5657894736842105,4.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,MUV,42,0.6381909547738693,0.6381818181818182,0.36180904522613067,0.80198973042362,0.5121951219512195,0.8421052631578947,5.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,MUV,3407,0.74,0.7037037037037037,0.26,0.7640692640692641,0.8861788617886179,0.5064935064935064,1.0,796.0,200.0,2.31,,,,,,,
fold_raw_reference,MUV,3407,0.7386934673366834,0.7135105204872647,0.2613065326633166,0.7796998083883331,0.8442622950819673,0.5714285714285714,2.0,797.0,199.0,2.32,,,,,,,
fold_raw_reference,MUV,3407,0.7487437185929648,0.7339002995293111,0.25125628140703515,0.7951884181392378,0.8032786885245902,0.6623376623376623,3.0,797.0,199.0,2.32,,,,,,,
fold_raw_reference,MUV,3407,0.7638190954773869,0.7259194139194138,0.23618090452261306,0.7625160462130938,0.9186991869918699,0.5131578947368421,4.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,MUV,3407,0.7638190954773869,0.7402016610649704,0.23618090452261306,0.7955177578091571,0.8617886178861789,0.6052631578947368,5.0,797.0,199.0,2.34,,,,,,,
fold_raw_reference,MUV,2026,0.72,0.6809116809116809,0.28,0.7605321507760532,0.8699186991869918,0.4805194805194805,1.0,796.0,200.0,2.33,,,,,,,
fold_raw_reference,MUV,2026,0.7085427135678392,0.6844378827646544,0.2914572864321608,0.7834788162657015,0.8032786885245902,0.5584415584415584,2.0,797.0,199.0,2.31,,,,,,,
