record_type,scheme,training_seed,accuracy,macro_f1,mae,adjacent_error_rate,far_error_rate,fold,train_n,eval_n,train_minutes,majority_acc,accuracy_std,macro_f1_std,mae_std,adjacent_error_rate_std,far_error_rate_std
fold_raw_reference,MP,42,0.49246231155778897,0.4417691886657404,0.6432160804020101,0.40703517587939697,0.10050251256281408,5.0,797.0,199.0,2.36,,,,,,
fold_raw_reference,MP,3407,0.44,0.3759289215364704,0.705,0.44,0.12,1.0,796.0,200.0,2.38,,,,,,
fold_raw_reference,MP,3407,0.5276381909547738,0.48674516702973963,0.6582914572864321,0.35175879396984927,0.12060301507537688,2.0,797.0,199.0,2.36,,,,,,
fold_raw_reference,MP,3407,0.44221105527638194,0.3739865842553961,0.7386934673366834,0.41708542713567837,0.1407035175879397,3.0,797.0,199.0,2.39,,,,,,
fold_raw_reference,MP,3407,0.4472361809045226,0.4216404506466618,0.6934673366834171,0.4271356783919598,0.12562814070351758,4.0,797.0,199.0,2.36,,,,,,
fold_raw_reference,MP,3407,0.5025125628140703,0.4303600842442073,0.7035175879396985,0.36180904522613067,0.135678391959799,5.0,797.0,199.0,2.35,,,,,,
fold_raw_reference,MP,2026,0.42,0.34396997929606626,0.77,0.435,0.145,1.0,796.0,200.0,2.39,,,,,,
fold_raw_reference,MP,2026,0.457286432160804,0.36768046962240064,0.7185929648241206,0.4120603015075377,0.1306532663316583,2.0,797.0,199.0,2.39,,,,,,
fold_raw_reference,MP,2026,0.3969849246231156,0.36558608058608055,0.7135678391959799,0.5125628140703518,0.09045226130653267,3.0,797.0,199.0,2.38,,,,,,
fold_raw_reference,MP,2026,0.4271356783919598,0.3956560252419552,0.7537688442211056,0.4321608040201005,0.1407035175879397,4.0,797.0,199.0,2.37,,,,,,
fold_raw_reference,MP,2026,0.4824120603015075,0.4117245536615616,0.7185929648241206,0.35678391959798994,0.16080402010050251,5.0,797.0,199.0,2.37,,,,,,
fold_raw_reference,MR,42,0.43,0.35846978280327046,0.765,0.405,0.165,1.0,796.0,200.0,2.33,,,,,,
fold_raw_reference,MR,42,0.5276381909547738,0.4504159061078809,0.6381909547738693,0.36180904522613067,0.11055276381909548,2.0,797.0,199.0,2.35,,,,,,
fold_raw_reference,MR,42,0.4271356783919598,0.3478384910109048,0.6683417085427136,0.49246231155778897,0.08040201005025126,3.0,797.0,199.0,2.34,,,,,,
fold_raw_reference,MR,42,0.4723618090452261,0.38900947681983145,0.6432160804020101,0.4221105527638191,0.10552763819095477,4.0,797.0,199.0,2.33,,,,,,
fold_raw_reference,MR,42,0.457286432160804,0.38765884469957185,0.6532663316582915,0.4472361809045226,0.09547738693467336,5.0,797.0,199.0,2.33,,,,,,
fold_raw_reference,MR,3407,0.455,0.3874677805572312,0.67,0.45,0.095,1.0,796.0,200.0,2.32,,,,,,
fold_raw_reference,MR,3407,0.49748743718592964,0.45583188929090374,0.6231155778894473,0.41708542713567837,0.08542713567839195,2.0,797.0,199.0,2.35,,,,,,
fold_raw_reference,MR,3407,0.46733668341708545,0.4097713289053651,0.6934673366834171,0.40703517587939697,0.12562814070351758,3.0,797.0,199.0,2.34,,,,,,
fold_raw_reference,MR,3407,0.49748743718592964,0.4779691200151558,0.6482412060301508,0.3869346733668342,0.11557788944723618,4.0,797.0,199.0,2.32,,,,,,
fold_raw_reference,MR,3407,0.44221105527638194,0.4119372391675215,0.6834170854271356,0.44221105527638194,0.11557788944723618,5.0,797.0,199.0,2.35,,,,,,
fold_raw_reference,MR,2026,0.41,0.36083954798801615,0.845,0.395,0.195,1.0,796.0,200.0,2.34,,,,,,
fold_raw_reference,MR,2026,0.4472361809045226,0.36973649896921934,0.7587939698492462,0.3969849246231156,0.15577889447236182,2.0,797.0,199.0,2.35,,,,,,
fold_raw_reference,MR,2026,0.4271356783919598,0.3865768799102132,0.7185929648241206,0.457286432160804,0.11557788944723618,3.0,797.0,199.0,2.33,,,,,,
fold_raw_reference,MR,2026,0.4120603015075377,0.35557732561880095,0.7336683417085427,0.457286432160804,0.1306532663316583,4.0,797.0,199.0,2.33,,,,,,
fold_raw_reference,MR,2026,0.49246231155778897,0.3956808004581191,0.6532663316582915,0.39195979899497485,0.11557788944723618,5.0,797.0,199.0,2.34,,,,,,
fold_raw_reference,MUV,42,0.4,0.31898719391525654,0.83,0.405,0.195,1.0,796.0,200.0,2.32,,,,,,
fold_raw_reference,MUV,42,0.457286432160804,0.37142133848844705,0.6934673366834171,0.4120603015075377,0.1306532663316583,2.0,797.0,199.0,2.35,,,,,,
fold_raw_reference,MUV,42,0.47738693467336685,0.43079481223383664,0.6482412060301508,0.41708542713567837,0.10552763819095477,3.0,797.0,199.0,2.33,,,,,,
fold_raw_reference,MUV,42,0.4271356783919598,0.3267575687870477,0.7487437185929648,0.4271356783919598,0.1457286432160804,4.0,797.0,199.0,2.35,,,,,,
fold_raw_reference,MUV,42,0.4221105527638191,0.3649187753826929,0.7587939698492462,0.4371859296482412,0.1407035175879397,5.0,797.0,199.0,2.34,,,,,,
fold_raw_reference,MUV,3407,0.435,0.3279370602060596,0.785,0.4,0.165,1.0,796.0,200.0,2.35,,,,,,
fold_raw_reference,MUV,3407,0.4321608040201005,0.3494542440641607,0.7989949748743719,0.3969849246231156,0.1708542713567839,2.0,797.0,199.0,2.33,,,,,,
fold_raw_reference,MUV,3407,0.41708542713567837,0.3765059367075166,0.7487437185929648,0.457286432160804,0.12562814070351758,3.0,797.0,199.0,2.34,,,,,,
fold_raw_reference,MUV,3407,0.4120603015075377,0.3356324333319091,0.7537688442211056,0.4321608040201005,0.15577889447236182,4.0,797.0,199.0,2.33,,,,,,
fold_raw_reference,MUV,3407,0.4371859296482412,0.36253387479393673,0.7437185929648241,0.4371859296482412,0.12562814070351758,5.0,797.0,199.0,2.34,,,,,,
fold_raw_reference,MUV,2026,0.425,0.38036922015182884,0.75,0.43,0.145,1.0,796.0,200.0,2.34,,,,,,
fold_raw_reference,MUV,2026,0.44221105527638194,0.3837756103545577,0.7638190954773869,0.4020100502512563,0.15577889447236182,2.0,797.0,199.0,2.35,,,,,,
fold_raw_reference,MUV,2026,0.4371859296482412,0.4021322287885184,0.6934673366834171,0.45226130653266333,0.11055276381909548,3.0,797.0,199.0,2.33,,,,,,
fold_raw_reference,MUV,2026,0.4020100502512563,0.36318698399892424,0.8391959798994975,0.4271356783919598,0.1708542713567839,4.0,797.0,199.0,2.33,,,,,,
fold_raw_reference,MUV,2026,0.4120603015075377,0.3046949038942676,0.7738693467336684,0.4472361809045226,0.1407035175879397,5.0,797.0,199.0,2.34,,,,,,
