step,combination,modalities,input_channels,fold,training_seed,train_count,evaluation_count,train_class_0,train_class_1,evaluation_class_0,evaluation_class_1,parameter_count,accuracy,macro_f1,mae,sensitivity,specificity,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,confusion_matrix
step_03_N,M+MR,M+MR,6,1,3407,794,202,305,489,78,124,23521538,0.7821782178217822,0.7578729432276343,0.21782178217821782,0.8951612903225806,0.6025641025641025,0.7833333333333333,0.6025641025641025,0.6811594202898551,0.7816901408450704,0.8951612903225806,0.8345864661654135,"[[47, 31], [13, 111]]"
step_03_N,M+MR,M+MR,6,2,3407,796,200,306,490,77,123,23521538,0.735,0.6916363636363636,0.265,0.9024390243902439,0.4675324675324675,0.75,0.4675324675324675,0.5760000000000001,0.7302631578947368,0.9024390243902439,0.8072727272727273,"[[36, 41], [12, 111]]"
step_03_N,M+MR,M+MR,6,3,3407,797,199,306,491,77,122,23521538,0.7035175879396985,0.6983686576750161,0.2964824120603015,0.680327868852459,0.7402597402597403,0.59375,0.7402597402597403,0.6589595375722545,0.8058252427184466,0.680327868852459,0.7377777777777776,"[[57, 20], [39, 83]]"
step_03_N,M+MR,M+MR,6,4,3407,798,198,307,491,76,122,23521538,0.803030303030303,0.7865612648221344,0.19696969696969696,0.8770491803278688,0.6842105263157895,0.7761194029850746,0.6842105263157895,0.7272727272727273,0.816793893129771,0.8770491803278688,0.8458498023715415,"[[52, 24], [15, 107]]"
step_03_N,M+MR,M+MR,6,5,3407,799,197,308,491,75,122,23521538,0.7715736040609137,0.7595801806199658,0.22842639593908629,0.8032786885245902,0.72,0.6923076923076923,0.72,0.7058823529411765,0.8235294117647058,0.8032786885245902,0.8132780082987552,"[[54, 21], [24, 98]]"
step_03_N,M+MR,M+MR,6,1,2026,794,202,305,489,78,124,23521538,0.7326732673267327,0.720594262295082,0.26732673267326734,0.7661290322580645,0.6794871794871795,0.6463414634146342,0.6794871794871795,0.6625000000000001,0.7916666666666666,0.7661290322580645,0.7786885245901639,"[[53, 25], [29, 95]]"
step_03_N,M+MR,M+MR,6,2,2026,796,200,306,490,77,123,23521538,0.715,0.7141352591589558,0.285,0.6260162601626016,0.8571428571428571,0.5892857142857143,0.8571428571428571,0.6984126984126984,0.875,0.6260162601626016,0.7298578199052133,"[[66, 11], [46, 77]]"
step_03_N,M+MR,M+MR,6,3,2026,797,199,306,491,77,122,23521538,0.7487437185929648,0.6988498789346247,0.25125628140703515,0.9426229508196722,0.44155844155844154,0.8292682926829268,0.44155844155844154,0.576271186440678,0.7278481012658228,0.9426229508196722,0.8214285714285714,"[[34, 43], [7, 115]]"
step_03_N,M+MR,M+MR,6,4,2026,798,198,307,491,76,122,23521538,0.7828282828282829,0.7646701124961995,0.21717171717171718,0.860655737704918,0.6578947368421053,0.746268656716418,0.6578947368421053,0.6993006993006994,0.8015267175572519,0.860655737704918,0.8300395256916997,"[[50, 26], [17, 105]]"
step_03_N,M+MR,M+MR,6,5,2026,799,197,308,491,75,122,23521538,0.7360406091370558,0.7240896358543417,0.2639593908629442,0.7622950819672131,0.6933333333333334,0.6419753086419753,0.6933333333333334,0.6666666666666667,0.8017241379310345,0.7622950819672131,0.7815126050420167,"[[52, 23], [29, 93]]"
step_03_N,M+MB+MR,M+MB+MR,9,1,42,794,202,305,489,78,124,23530946,0.7722772277227723,0.7547508445945946,0.22772277227722773,0.8467741935483871,0.6538461538461539,0.7285714285714285,0.6538461538461539,0.6891891891891891,0.7954545454545454,0.8467741935483871,0.8203125000000001,"[[51, 27], [19, 105]]"
step_03_N,M+MB+MR,M+MB+MR,9,2,42,796,200,306,490,77,123,23530946,0.76,0.744,0.24,0.8211382113821138,0.6623376623376623,0.6986301369863014,0.6623376623376623,0.68,0.7952755905511811,0.8211382113821138,0.808,"[[51, 26], [22, 101]]"
step_03_N,M+MB+MR,M+MB+MR,9,3,42,797,199,306,491,77,122,23530946,0.7336683417085427,0.685323865501089,0.2663316582914573,0.9180327868852459,0.44155844155844154,0.7727272727272727,0.44155844155844154,0.5619834710743802,0.7225806451612903,0.9180327868852459,0.8086642599277979,"[[34, 43], [10, 112]]"
step_03_N,M+MB+MR,M+MB+MR,9,4,42,798,198,307,491,76,122,23530946,0.7676767676767676,0.7366107576633892,0.23232323232323232,0.9016393442622951,0.5526315789473685,0.7777777777777778,0.5526315789473685,0.6461538461538462,0.7638888888888888,0.9016393442622951,0.8270676691729323,"[[42, 34], [12, 110]]"
step_03_N,M+MB+MR,M+MB+MR,9,5,42,799,197,308,491,75,122,23530946,0.751269035532995,0.7198212057005196,0.24873096446700507,0.8770491803278688,0.5466666666666666,0.7321428571428571,0.5466666666666666,0.6259541984732825,0.7588652482269503,0.8770491803278688,0.8136882129277566,"[[41, 34], [15, 107]]"
step_03_N,M+MB+MR,M+MB+MR,9,1,3407,794,202,305,489,78,124,23530946,0.7178217821782178,0.693409665823459,0.28217821782178215,0.8145161290322581,0.5641025641025641,0.6567164179104478,0.5641025641025641,0.606896551724138,0.7481481481481481,0.8145161290322581,0.7799227799227799,"[[44, 34], [23, 101]]"
step_03_N,M+MB+MR,M+MB+MR,9,2,3407,796,200,306,490,77,123,23530946,0.765,0.737246680642907,0.235,0.8861788617886179,0.5714285714285714,0.7586206896551724,0.5714285714285714,0.6518518518518518,0.7676056338028169,0.8861788617886179,0.8226415094339623,"[[44, 33], [14, 109]]"
step_03_N,M+MB+MR,M+MB+MR,9,3,3407,797,199,306,491,77,122,23530946,0.7437185929648241,0.72493698674689,0.2562814070351759,0.819672131147541,0.6233766233766234,0.6857142857142857,0.6233766233766234,0.6530612244897959,0.7751937984496124,0.819672131147541,0.796812749003984,"[[48, 29], [22, 100]]"
step_03_N,M+MB+MR,M+MB+MR,9,4,3407,798,198,307,491,76,122,23530946,0.797979797979798,0.7817460317460316,0.20202020202020202,0.8688524590163934,0.6842105263157895,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.8153846153846154,0.8688524590163934,0.8412698412698412,"[[52, 24], [16, 106]]"
step_03_N,M+MB+MR,M+MB+MR,9,5,3407,799,197,308,491,75,122,23530946,0.7766497461928934,0.7577688352336239,0.2233502538071066,0.8524590163934426,0.6533333333333333,0.7313432835820896,0.6533333333333333,0.6901408450704225,0.8,0.8524590163934426,0.8253968253968254,"[[49, 26], [18, 104]]"
step_03_N,M+MB+MR,M+MB+MR,9,1,2026,794,202,305,489,78,124,23530946,0.7574257425742574,0.7409103997068294,0.24257425742574257,0.8225806451612904,0.6538461538461539,0.6986301369863014,0.6538461538461539,0.6754966887417219,0.7906976744186046,0.8225806451612904,0.8063241106719368,"[[51, 27], [22, 102]]"
step_03_N,M+MB+MR,M+MB+MR,9,2,2026,796,200,306,490,77,123,23530946,0.78,0.7688104245481295,0.22,0.8130081300813008,0.7272727272727273,0.7088607594936709,0.7272727272727273,0.717948717948718,0.8264462809917356,0.8130081300813008,0.8196721311475411,"[[56, 21], [23, 100]]"
step_03_N,M+MB+MR,M+MB+MR,9,3,2026,797,199,306,491,77,122,23530946,0.7437185929648241,0.7075300423618915,0.2562814070351759,0.8934426229508197,0.5064935064935064,0.75,0.5064935064935064,0.6046511627906975,0.7414965986394558,0.8934426229508197,0.8104089219330856,"[[39, 38], [13, 109]]"
step_03_N,M+MB+MR,M+MB+MR,9,4,2026,798,198,307,491,76,122,23530946,0.797979797979798,0.7671957671957672,0.20202020202020202,0.9426229508196722,0.5657894736842105,0.86,0.5657894736842105,0.6825396825396826,0.777027027027027,0.9426229508196722,0.8518518518518519,"[[43, 33], [7, 115]]"
step_03_N,M+MB+MR,M+MB+MR,9,5,2026,799,197,308,491,75,122,23530946,0.7360406091370558,0.7154444444444445,0.2639593908629442,0.8114754098360656,0.6133333333333333,0.6666666666666666,0.6133333333333333,0.638888888888889,0.7734375,0.8114754098360656,0.792,"[[46, 29], [23, 99]]"
step_03_N,MR+MB,MR+MB,6,1,42,794,202,305,489,78,124,23521538,0.7673267326732673,0.7456260214880905,0.23267326732673269,0.8629032258064516,0.6153846153846154,0.7384615384615385,0.6153846153846154,0.6713286713286714,0.781021897810219,0.8629032258064516,0.8199233716475097,"[[48, 30], [17, 107]]"
