record_type,channel,training_seed,accuracy,macro_f1,mae,auc,sensitivity,specificity,fold,train_n,eval_n,majority_acc,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,train_minutes,accuracy_std,macro_f1_std,mae_std,auc_std,sensitivity_std,specificity_std
fold_raw,MR,3407,0.7738693467336684,0.7686106302162734,0.22613065326633167,0.8451005562687206,0.7479674796747967,0.8157894736842105,4.0,797.0,199.0,0.6180904522613065,0.6666666666666666,0.8157894736842105,0.7337278106508875,0.8679245283018868,0.7479674796747967,0.8034934497816594,2.33,,,,,,
fold_raw,MR,3407,0.7839195979899497,0.7728129563255011,0.21608040201005024,0.860451433461703,0.8130081300813008,0.7368421052631579,5.0,797.0,199.0,0.6180904522613065,0.7088607594936709,0.7368421052631579,0.7225806451612903,0.8333333333333334,0.8130081300813008,0.823045267489712,2.33,,,,,,
fold_raw,MR,2026,0.68,0.6736026111791106,0.32,0.7600570161545771,0.6666666666666666,0.7012987012987013,1.0,796.0,200.0,0.615,0.5684210526315789,0.7012987012987013,0.627906976744186,0.780952380952381,0.6666666666666666,0.7192982456140351,2.32,,,,,,
fold_raw,MR,2026,0.7537688442211056,0.7212167996111731,0.24623115577889448,0.8268043431977858,0.8934426229508197,0.5324675324675324,2.0,797.0,199.0,0.6130653266331658,0.7592592592592593,0.5324675324675324,0.6259541984732825,0.7517241379310344,0.8934426229508197,0.8164794007490637,2.34,,,,,,
fold_raw,MR,2026,0.7386934673366834,0.7218279569892473,0.2613065326633166,0.8185011709601874,0.8032786885245902,0.6363636363636364,3.0,797.0,199.0,0.6130653266331658,0.6712328767123288,0.6363636363636364,0.6533333333333333,0.7777777777777778,0.8032786885245902,0.7903225806451613,2.35,,,,,,
fold_raw,MR,2026,0.8140703517587939,0.7954779033915724,0.18592964824120603,0.8378797603765512,0.9024390243902439,0.6710526315789473,4.0,797.0,199.0,0.6180904522613065,0.8095238095238095,0.6710526315789473,0.7338129496402878,0.8161764705882353,0.9024390243902439,0.8571428571428571,2.31,,,,,,
fold_raw,MR,2026,0.8090452261306532,0.7967204301075269,0.19095477386934673,0.8626444159178434,0.8536585365853658,0.7368421052631579,5.0,797.0,199.0,0.6180904522613065,0.7567567567567568,0.7368421052631579,0.7466666666666667,0.84,0.8536585365853658,0.8467741935483871,2.34,,,,,,
seed_summary,MR,42,0.7720954773869346,0.7471617679508429,0.22790452261306532,0.8272699669277881,0.8743969079035052,0.6088174982911825,,,,,,,,,,,,0.034127612678336375,0.04594343981565837,0.03412761267833641,0.026217327239566,0.02743470580198167,0.10627315859722916
seed_summary,MR,3407,0.7600804020100502,0.7451261195412366,0.23991959798994972,0.8272266008155864,0.8076636012261762,0.6845522898154477,,,,,,,,,,,,0.02590142985597758,0.027510218220803764,0.025901429855977588,0.03925584566109228,0.059843219354648,0.09385189112886617
seed_summary,MR,2026,0.7591155778894472,0.741769140255726,0.24088442211055275,0.8211773413213889,0.8238971078235371,0.6556049213943951,,,,,,,,,,,,0.055267354219403944,0.05331744713587941,0.05526735421940398,0.03799015748946733,0.09622588634952567,0.0781969898975923
final,MR,all,0.7637638190954773,0.7446856759159353,0.23623618090452259,0.8252246363549212,0.8353192056510729,0.6496582365003417,,,,,,,,,,,,0.007231536407301776,0.0027231601687812625,0.007231536407301766,0.0035051273830294712,0.03480203721205066,0.03821599086413762
fold_raw,MUV,42,0.705,0.6596579273744628,0.295,0.7228909302080033,0.8699186991869918,0.44155844155844154,1.0,796.0,200.0,0.615,0.68,0.44155844155844154,0.5354330708661418,0.7133333333333334,0.8699186991869918,0.7838827838827839,2.33,,,,,,
fold_raw,MUV,42,0.7336683417085427,0.705036776015885,0.2663316582914573,0.7820949542261019,0.8524590163934426,0.5454545454545454,2.0,797.0,199.0,0.6130653266331658,0.7,0.5454545454545454,0.6131386861313869,0.7482014388489209,0.8524590163934426,0.7969348659003831,2.33,,,,,,
fold_raw,MUV,42,0.7286432160804021,0.7079256360078278,0.271356783919598,0.8039173940813286,0.8114754098360656,0.5974025974025974,3.0,797.0,199.0,0.6130653266331658,0.6666666666666666,0.5974025974025974,0.6301369863013698,0.7615384615384615,0.8114754098360656,0.7857142857142857,2.32,,,,,,
fold_raw,MUV,42,0.7336683417085427,0.7070359156690091,0.2663316582914573,0.7434745400085581,0.8373983739837398,0.5657894736842105,4.0,797.0,199.0,0.6180904522613065,0.6825396825396826,0.5657894736842105,0.6187050359712231,0.7573529411764706,0.8373983739837398,0.7953667953667953,2.33,,,,,,
