record_type,channel,training_seed,accuracy,macro_f1,mae,adjacent_error_rate,far_error_rate,fold,train_n,eval_n,majority_acc,train_minutes,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,precision_4,recall_4,f1_4,accuracy_std,macro_f1_std,mae_std,adjacent_error_rate_std,far_error_rate_std
fold_raw,MP,42,0.45226130653266333,0.41996256462349935,0.7236180904522613,0.4120603015075377,0.135678391959799,4.0,797.0,199.0,0.3316582914572864,2.38,0.4,0.2857142857142857,0.3333333333333333,0.5,0.52,0.5098039215686274,0.2903225806451613,0.20454545454545456,0.24,0.4788732394366197,0.5151515151515151,0.49635036496350365,0.48484848484848486,0.5614035087719298,0.5203252032520326,,,,,
fold_raw,MP,42,0.49246231155778897,0.4417691886657404,0.6432160804020101,0.40703517587939697,0.10050251256281408,5.0,797.0,199.0,0.32663316582914576,2.36,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.39285714285714285,0.4583333333333333,0.4230769230769231,0.35555555555555557,0.35555555555555557,0.35555555555555557,0.5409836065573771,0.5076923076923077,0.5238095238095238,0.6206896551724138,0.6206896551724138,0.6206896551724138,,,,,
fold_raw,MP,3407,0.44,0.3759289215364704,0.705,0.44,0.12,1.0,796.0,200.0,0.325,2.38,0.2222222222222222,0.25,0.23529411764705882,0.4,0.3333333333333333,0.36363636363636365,0.32432432432432434,0.26666666666666666,0.2926829268292683,0.4519230769230769,0.7230769230769231,0.5562130177514792,0.6333333333333333,0.3275862068965517,0.4318181818181818,,,,,
fold_raw,MP,3407,0.5276381909547738,0.48674516702973963,0.6582914572864321,0.35175879396984927,0.12060301507537688,2.0,797.0,199.0,0.32663316582914576,2.36,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.64,0.6037735849056604,0.5454545454545454,0.26666666666666666,0.3582089552238806,0.5189873417721519,0.6307692307692307,0.5694444444444444,0.559322033898305,0.5789473684210527,0.5689655172413793,,,,,
fold_raw,MP,3407,0.44221105527638194,0.3739865842553961,0.7386934673366834,0.41708542713567837,0.1407035175879397,3.0,797.0,199.0,0.32663316582914576,2.39,0.2,0.14285714285714285,0.16666666666666666,0.35555555555555557,0.64,0.45714285714285713,0.30434782608695654,0.15555555555555556,0.20588235294117646,0.45,0.5538461538461539,0.496551724137931,0.6086956521739131,0.49122807017543857,0.5436893203883495,,,,,
fold_raw,MP,3407,0.4472361809045226,0.4216404506466618,0.6934673366834171,0.4271356783919598,0.12562814070351758,4.0,797.0,199.0,0.3316582914572864,2.36,1.0,0.14285714285714285,0.25,0.631578947368421,0.48,0.5454545454545454,0.3333333333333333,0.5,0.4,0.4444444444444444,0.48484848484848486,0.463768115942029,0.5365853658536586,0.38596491228070173,0.4489795918367347,,,,,
fold_raw,MP,3407,0.5025125628140703,0.4303600842442073,0.7035175879396985,0.36180904522613067,0.135678391959799,5.0,797.0,199.0,0.32663316582914576,2.35,0.1875,0.42857142857142855,0.2608695652173913,0.3793103448275862,0.4583333333333333,0.41509433962264153,0.5294117647058824,0.2,0.2903225806451613,0.5303030303030303,0.5384615384615384,0.5343511450381679,0.5915492957746479,0.7241379310344828,0.6511627906976745,,,,,
fold_raw,MP,2026,0.42,0.34396997929606626,0.77,0.435,0.145,1.0,796.0,200.0,0.325,2.39,0.25,0.125,0.16666666666666666,0.36363636363636365,0.3333333333333333,0.34782608695652173,0.28,0.15555555555555556,0.2,0.4105263157894737,0.6,0.4875,0.5370370370370371,0.5,0.5178571428571429,,,,,
fold_raw,MP,2026,0.457286432160804,0.36768046962240064,0.7185929648241206,0.4120603015075377,0.1306532663316583,2.0,797.0,199.0,0.32663316582914576,2.39,0.0,0.0,0.0,0.6470588235294118,0.44,0.5238095238095238,0.3870967741935484,0.26666666666666666,0.3157894736842105,0.4375,0.6461538461538462,0.5217391304347826,0.5,0.45614035087719296,0.47706422018348627,,,,,
fold_raw,MP,2026,0.3969849246231156,0.36558608058608055,0.7135678391959799,0.5125628140703518,0.09045226130653267,3.0,797.0,199.0,0.32663316582914576,2.38,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.4666666666666667,0.28,0.35,0.2857142857142857,0.2222222222222222,0.25,0.35789473684210527,0.5230769230769231,0.425,0.5416666666666666,0.45614035087719296,0.49523809523809526,,,,,
fold_raw,MP,2026,0.4271356783919598,0.3956560252419552,0.7537688442211056,0.4321608040201005,0.1407035175879397,4.0,797.0,199.0,0.3316582914572864,2.37,1.0,0.14285714285714285,0.25,0.5416666666666666,0.52,0.5306122448979592,0.3870967741935484,0.2727272727272727,0.32,0.41379310344827586,0.5454545454545454,0.47058823529411764,0.4107142857142857,0.40350877192982454,0.40707964601769914,,,,,
fold_raw,MP,2026,0.4824120603015075,0.4117245536615616,0.7185929648241206,0.35678391959798994,0.16080402010050251,5.0,797.0,199.0,0.32663316582914576,2.37,0.125,0.14285714285714285,0.13333333333333333,0.5625,0.375,0.45,0.391304347826087,0.4,0.3956043956043956,0.532258064516129,0.5076923076923077,0.5196850393700787,0.5223880597014925,0.603448275862069,0.56,,,,,
seed_summary,MP,42,0.4618391959798995,0.41172702091425706,0.6957587939698493,0.42171859296482417,0.11644221105527638,,,,,,,,,,,,,,,,,,,,,0.040536969270399986,0.02775856025183422,0.05197050908739165,0.0378390358161939,0.021536588654953094
seed_summary,MP,3407,0.47191959798994976,0.41773224154249505,0.6997939698492462,0.3995577889447236,0.12852261306532664,,,,,,,,,,,,,,,,,,,,,0.04046980486648862,0.046364643018725664,0.028795068252353315,0.04004073580398027,0.009264347556797517
seed_summary,MP,2026,0.4367638190954774,0.37692342168161286,0.7349045226130653,0.42971356783919595,0.13352261306532665,,,,,,,,,,,,,,,,,,,,,0.033395459054147404,0.026748486191641014,0.025371948373122205,0.05596495406892848,0.026414292162266526
final,MP,all,0.45684087102177556,0.402127561379455,0.7101524288107202,0.4169966499162479,0.12616247906197656,,,,,,,,,,,,,,,,,,,,,0.018103028385038522,0.022032978966306623,0.02153068210239706,0.015622589727653168,0.008781384150096112
fold_raw,MR,42,0.43,0.35846978280327046,0.765,0.405,0.165,1.0,796.0,200.0,0.325,2.33,0.25,0.125,0.16666666666666666,0.46153846153846156,0.5,0.48,0.21739130434782608,0.1111111111111111,0.14705882352941177,0.43548387096774194,0.4153846153846154,0.4251968503937008,0.4823529411764706,0.7068965517241379,0.5734265734265734,,,,,
fold_raw,MR,42,0.5276381909547738,0.4504159061078809,0.6381909547738693,0.36180904522613067,0.11055276381909548,2.0,797.0,199.0,0.32663316582914576,2.35,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.6875,0.44,0.5365853658536586,0.4411764705882353,0.3333333333333333,0.379746835443038,0.5068493150684932,0.5692307692307692,0.5362318840579711,0.5857142857142857,0.7192982456140351,0.6456692913385826,,,,,
fold_raw,MR,42,0.4271356783919598,0.3478384910109048,0.6683417085427136,0.49246231155778897,0.08040201005025126,3.0,797.0,199.0,0.32663316582914576,2.34,0.0,0.0,0.0,0.5,0.4,0.4444444444444444,0.30952380952380953,0.28888888888888886,0.2988505747126437,0.37362637362637363,0.5230769230769231,0.4358974358974359,0.6511627906976745,0.49122807017543857,0.56,,,,,
